epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,194583,0.52381,0.46989,0.97267,0.99485,0.99586,0.99447,0.91341,0.3722,0.19686,0.86296,0.000141016,0.000141016,0.000141016
56,195839,0.52101,0.47297,0.96603,0.995,0.99763,0.99459,0.91549,0.37329,0.20094,0.86355,0.000138016,0.000138016,0.000138016
57,197541,0.52313,0.46455,0.96621,0.99527,0.99716,0.99464,0.91249,0.37468,0.19852,0.86397,0.000135017,0.000135017,0.000135017
58,199332,0.52452,0.4686,0.97101,0.99562,0.99687,0.99449,0.91486,0.36792,0.19622,0.85989,0.000132017,0.000132017,0.000132017
59,200802,0.52501,0.46979,0.96598,0.99573,0.99722,0.99462,0.92036,0.36701,0.19354,0.86144,0.000129017,0.000129017,0.000129017
60,202595,0.51789,0.46256,0.96741,0.99573,0.99779,0.99461,0.91484,0.36447,0.19615,0.85991,0.000126018,0.000126018,0.000126018
61,204673,0.51103,0.4593,0.96273,0.99475,0.99737,0.99463,0.91758,0.36152,0.19042,0.85887,0.000123018,0.000123018,0.000123018
62,206480,0.50559,0.44608,0.96318,0.99589,0.99551,0.99467,0.91858,0.36347,0.19162,0.856,0.000120018,0.000120018,0.000120018
63,208056,0.50466,0.45519,0.96309,0.99669,0.99767,0.99473,0.91834,0.36047,0.18926,0.85703,0.000117019,0.000117019,0.000117019
64,209352,0.49999,0.44223,0.95463,0.99669,0.99799,0.99479,0.9184,0.35771,0.18798,0.85557,0.000114019,0.000114019,0.000114019
65,212545,0.5082,0.4451,0.96823,0.99645,0.99784,0.99491,0.92105,0.35738,0.18694,0.85557,0.000111019,0.000111019,0.000111019
66,213877,0.50213,0.43668,0.95918,0.99622,0.99668,0.99485,0.91912,0.35423,0.18795,0.85404,0.000108019,0.000108019,0.000108019
67,215753,0.50114,0.43938,0.95851,0.99591,0.99825,0.9948,0.92304,0.3502,0.18424,0.85219,0.00010502,0.00010502,0.00010502
